ⲟ,"great"
ϩⲓⲉ,"really, then, because"
ϫⲫⲓ,"to beg for, supplicate"
ϫⲟⲡ,"be hard, cruel"
ϫⲱⲧ,"pillar"
ϭⲱⲧ,"meaning unknown"
ⲁϫⲱ,"say!"
ⲱϧⲧ,"drip, trickle"
ⲗⲱϩ,"meaning unknown"
ⲉϩⲟ,"particle with neg. verb"
ⲕⲉⲣ,"haunch, thigh"
ⲙϩⲏ,"breath"
ⲥⲏⲧ,"the god Seth"
ⲗⲱϥ,"be insipid"
ⲡⲣⲱ,"winter"
ⲫⲉϧ,"melon"
ⲉⲧⲓ,"still, yet; also, furthermore (specific sense or function unclear)"
ⲣⲱⲛ,"rampart"
ⲁⲅⲉ,"to hold s.th. (object: a belief)"
ⲃⲓⲧ,"edge, side (?) (of pot)"
ⲛⲉ-,"your"
ⲓⲟⲩ,"copper rust"
ⲙⲉⲛ,"while, indeed (specific sense unclear)"
ⲡⲱ⸗,"this of . . . (mine, his etc.)"
ϫⲱⲙ,"endeavour, make an effort"
ⲑⲏⲛ,"sulfur"
ⲉⲣⲓ,"bread"
ϥⲣⲉ,"seed"
ⲃⲁⲣ,"meaning unknown"
ⲭⲣⲱ,"to have, use, need s.th. (specific sense/object: unclear)"
ⲁⲣⲁ,"(specific usage unclear)"
ϧⲏⲓ,"sun"
ⲅⲁⲣ,"for / indeed (specific sense unclear)"
ⲥⲡ-,"hour"
ⲛⲁ-,"about"
ⲁⲧⲟ,"multitude"
ⲥⲱϥ,"strain"
ϭⲱⲣ,"smoke, cinder, steam"
ϭⲱⲡ,"meaning unknown"
ⲃⲓⲁ,"force, violence"
ϭⲱⲥ,"flatus ventris, wind (of the body), flatulence"
ⲉϫⲱ,"tongs, pincers"
ϧⲱⲥ,"unknown meaning"
ⲙⲏⲣ,"shore (of river), opposite shore"
ⲟⲩⲁ,"child?"
ⲱⲗⲓ,"striking, blow (in ⲡⲓϩⲓⲱ(ⲓ)ⲗⲓ)"
ⲁⲕⲏ,"meaning unknown"
ⲱⲛⲏ,"deed of sale"
ⲍⲁⲍ,"asphodel"
ⲡⲓⲁ,"wake up sb."
ⲧⲁⲧ,"djed pillar"
ⲁⲙⲏ,"wasp"
ⲏⲟⲩ,"limbs"
ⲕⲗⲉ,"vessel for liquids"
ϭⲟⲩ,"ingredient in poison"
ⲉⲡⲓ,"for"
ϧⲁϧ,"neck"
ⲗⲟⲙ,"morsel, bit"
ϭⲣⲉ,"ladle"
ϩⲱϯ,"necessity"
ϭⲗⲏ,"scorpion"
ϣⲏⲓ,"temples"
ⲣⲱϣ,"measure"
ⲣⳉⲉ,"be willing"
ⲁⲥϭ,"spade (?)"
ⲉⲧ-,""
ⲁⲕⲱ,"decay, loss, destruction"
ⲁⲙⲁ,"abbess (Mother")"
ⲗⲁⲙ,"meaning unknown"
ⲁⲗⲉ,"a utensil of bronze"
ϣⲗⲟⲗ,"folk, people"
ⲃⲱϩⲛ,"cover"
ⲕⲟⲣⲝ,"raven" (a torture instrument)"
ⲯⲉⲅⲉ,"to blame s.o."
ϩⲣⲓⲙ,"pelican"
ⲧⲉⲗⲓ,"to finish, complete s.th."
ⲁϩⲁⲛ,"together with, and"
ⲙⲉⲗⲓ,"for s.th. to be of concern to s.o. (object2: noun)"
ϩⲉⲱⲥ,"until (introduces limitative clause)"
ⲟⲩⲱⲣ,"unknown meaning"
ⲁϩⲱⲙ,"eagle, vulture"
ⲟⲩⲣⲱ,"bean"
ⲁⲓⲱⲛ,"age, era, world"
ⲃⲏⲧⲉ,"scale-like plate (of metal)"
ⲕⲏⲃⲓ,"jar, pitcher"
ⲁⲣⲟⲩ,""
ⲧⲁⲭⲏ,"to make haste, to hasten to do s.th. (object: result clause)"
ⲃⲓϫⲓ,"be wrecked (of ship)"
ϭⲱⲗⲡ,"faggot, bundle of sticks (used as raft)"
ⲗⲩⲡⲏ,"grief, sadness, pain (general, or more specific sense unclear)"
ⲑⲟⲩⲥ,"point (of beard)"
ϩⲏⲙⲓ,"dower (of divorced wife)"
ϩⲁⲙⲁ,"as soon as (temporal)"
ⲱϩⲣⲉ,"unknown meaning"
ⲁⲛⲟⲛ,"we"
ⲉⲥⲧⲱ,"if it were fitting"
ⲁⲣⲏⲃ,"pledge, deposit (of money)"
ϫⲁⲛⲟ,"basket (?) (to transport soil)"
ⲟⲩⲉⲗ,"mucus of nose?"
ⲁⲥⲓⲕ,"fever, ague (?)"
ϫⲱϥⲓ,"fenugreek"
ϣⲱⲃⲧ,"change, be changed, separate"
ⲗⲟⲩⲕ,"cheek, corner of mouth"
ⲕⲱⲙⲏ,"village"
ⲡⲩⲗⲏ,"gate"
ⲁⲣⲏⲩ,"perhaps"
ⲕⲟⲟϩ,"angle, corner"
ⲉⲑⲏⲣ,"aither, ether (referent: firey gas in the upper atmosphere; upper air")"
ⲗⲉⲥⲓ,"meaning unknown"
ⲯⲩⲭⲏ,"soul (specific sense unclear)"
ⲟⲩⲁⲓ,"ah! woe!"
ⲫⲱⲛⲏ,"term, expression"
ⲁⲗⲗⲁ,"but, yet, rather, instead (general, or more specific sense unclear)"
ⲗⲏⲟⲩ,"meaning unknown"
ⲧⲕⲃⲟ,"make cool"
ⲙⲉⲧⲁ,"after/beyond (specific sense unclear)"
ⲥⲏⲛⲉ,"granary, bin"
ϭⲃⲓⲉ,"become weak, tired (?)"
ⲙⲁⲛⲕ,"meaning unknown"
ⲩⲓⲟⲥ,"son"
ⲉⲓⲧⲁ,"then, next, furthermore (specific sense or usage unclear)"
ϩⲏⲃⲓ,"meaning unknown"
ⲑⲉⲙⲁ,"instruction"
ⲉⲡⲉⲓ,"since, because (function unclear)"
ⲭⲣⲱϣ,"wrinkle"
ⲭⲣⲓⲙ,"desert edge"
ⲡⲛⲟⲏ,"breath, breathing"
ⲁⲗⲓⲗ,"field mouse, mole"
ⲁⲣⲛⲁ,"to deny (object: none)"
ⲁⲥⲏⲣ,"belonging(s), chattel(s), provisions"
ⲃⲏⲙⲁ,"tribunal, judge's seat"
ⲛⲏⲫⲉ,"to be(come) sober, clear (object: none)"
ⲟⲝⲟⲥ,"vinegar"
ⲥϥⲱϯ,"meaning unknown (relates to ship)"
ⲃⲉϩⲓ,"file"
ⲉⲣⲡⲱ,"twig (? related to vine leaves)"
ⲗⲟⲟⲩ,"curl (of hair)"
ⲁⲗⲟⲙ,"bosom"
ϩⲗⲟⲗ,"darkness"
ⲉⲫⲱⲧ,"crocodile"
ⲟⲡⲉⲣ,"which (may not...) (introduces subordinate clause; negative purpose clause)"
ⲃⲓⲛⲓ,"crucible"
ⲃⲏⲥⲉ,"pail, well-bucket"
ⲁⲃⲏϣ,"meaning unknown"
ⲁⲫⲱⲫ,"giant"
ϧⲉⲙⲥ,"unknown meaning (a title)"
ⲟⲩⲟⲥ,"blade, point"
ⲁⲕⲙⲏ,"peak, prime, climax"
ⲁⲗⲱⲗ,"be impatient, desire eagerly, be worried"
ⲁⲗⲫⲁ,"alpha (first letter of the Greek alphabet)"
ϩⲱⲛϫ,"entreat, exhort"
ⲡⲁⲣⲁ,"(usage unclear)"
ⲑⲁⲫⲏ,"junction, point of contact in the body"
ϣⲃⲓⲛ,"part of sheep's intestine (?)"
ⲧⲓⲗⲓ,"fenugreek (Trigonella foenum graecum)"
ⲑⲱⲃⲓ,"meaning unknown"
ⲃⲁϣⲓ,"meaning unknown"
ⲧⲉⲃⲓ,"obole (coin)"
ⲑⲉⲟⲩ,"God"
ⲁⲛⲣⲟ,"porch(?)"
ⲟⲩⲟϥ,"lung"
ⲃⲱϩⲧ,"rise, ascend (fire and Water)"
ⲁⲕⲗⲏ,"a vessel"
ⲉⲙⲛⲧ,"(the) west"
ϧⲉⲛⲓ,"quarrel"
ⲗⲁⲓⲛ,"steel"
ϫⳉⲟⲩ,"die, burn, perish (?) (phoenix in the fire)"
ⲧϣⲙⲟ,"make small"
ⲟⲩⲁ⸗,"permit, grant"
ϩⲣⲣⲉ,"cease, be still"
ⲉⲛⲧ-,"relative converter of Perf. I"
ϧⲣⲟϯ,"child"
ⲑⲓϥⲓ,"swelling, tumour"
ϣⲑⲉϩ,"street"
ⲁⲛⲟⲙ,"skin"
ⲁⲕⲏⲥ,"breeches"
ⲕⲱⲣϫ,"cut down, break off"
ϫⲉⲛϩ,"a garment"
ⲁⲛⲁⲕ,"meaning unknown (account of expenses)"
ⲫⲟⲣⲥ,"break up?"
ⲟⲣⲅⲏ,"anger, wrath (specific sense unclear)"
ⲉⲧⲧⲉ,"meaning unknown"
ⲁⲣⲭⲏ,"authority"
ⲁϣⲉⲩ,"astrologers"
ⲁϭⲟⲛ,"stand for a jar"
ⲃⲱⲥⲧ,"be dry, parched"
ⲗⲱϣϫ,"be troublesome, oppressive"
ϩⲁϯⲗ,"humble (?)"
ⲑⲙⲓⲥ,"dust"
ϫⲁϫⲱ,"a sort of fuel"
ⲟⲩⲣ-,"part of the harness (neck or yoke strap?)"
ⲧⲗⲟⲗ,"unknown meaning"
ⲁⲗⲗⲟ,"another (substantive; i.e. another remedy)"
ⲉⲓⲧⲉ,"and not, nor (used like ⲟⲩⲧⲉ)"
ⲟⲣⲁⲝ,"wild chickling, Lahtyrus annuus"
ⲁⲙⲟⲩ,"come!"
ϣⲑⲱⲧ,"rope of palm-fibre"
ⲙⲏⲗⲁ,"apple"
ⲥⲱⲙⲁ,"body (specific sense unclear)"
ⲛⲟⲙⲏ,"(right of) possession/ownership"
ⲉⲓⲡⲛ,"this"
ϭⲏⲥⲉ,"meaning unknown"
ϫⲏⲣⲓ,"meaning unknown"
ⲉⲕⲧⲉ,"meaning unknown"
ⲥⲙⲉϩ,"herb"
ⲣⲁⲙⲥ,"ship (?)"
ⲙⲓⲗⳇ,"Miliarêsion, miliarense"
ⲍⲱⲛⲏ,"belt"
ϫⲫⲟⲧ,"a part of body wherof there are two"
ⲣⲏⲥⲉ,"dust"
ⲛⲉⲙⲉ,"flame"
ⲕⲁⲥⲉ,"shoemaker"
ⲁⲣⲓⲙ,"saltwort"
ⲑⲩⲕⲏ,"case (made of leather, for a book?)"
ⲃⲱⲕⲓ,"(female) servant, slave"
ⲡⲩⲣⲁ,"trial, attempt"
ⲕⲟⲩⲝ,"doum-palm"
ⲧⲙⲉⲧ,"totality"
ⲉϣϫⲉ,"if"
ⲙⲙⲓⲛ,"own, proper, self"
ⲑⲣⲁⲛ,"tin"
ϭⲁϥⲏ,"desert (?)"
ⲧⲁⲭⲁ,"perhaps, possibly"
ⲉⲩⲭⲏ,"prayer"
ⲭⲁⲟⲥ,"chasm, pit"
ⲕⲣⲁϩ,"meaning unknown"
ⲥⲧⲟⲁ,"(roofed) collonade, portico, hall"
ⲁⲗⲱⲧ,"compulsory service, forced labour"
ⲕⲓⲟⲛ,"wart"
ⲃⲁⲛⲕ,"a bird (named in magical text with hawk and pelican)"
ⲍⲱⲟⲛ,"animal, living being, creature"
ⲭⲏⲣⲁ,"widow"
ⲕ̄ⲩ̅,"the Lord (God)"
ⲭⲱⲣⲁ,"land (specific sense unclear)"
ϭⲁⲓⲧ,"be disgraced, condemned (?)"
ⲭⲁⲗⲁ,"to let down, lower (object: none)"
ϫⲉⲡⲓ,"chip, slice, morsel"
ⲉⲗⲕⲱ,"(ripe) fruit of sycamore"
ⲡⲉⲇⲏ,"fetter"
ⲕⲟⲣⲏ,"maiden, girl"
(ⲱϩ),"unknown meaning"
ⲛⲏⲛⲓ,"honeycomb"
ⲥⲁⲣⲝ,"flesh (specific sense unclear)"
ⲙⲛⲕⲉ,"meaning unknown"
ⲅⲁⲍⲁ,"treasury"
ϩⲟⲧⲉ,"when (introduces temporal clause)"
ⲁⲛⲁⲩ,"look!"
ⲣⲓⲃⲏ,"rope with belt (for hauling ship's cable)"
ⲇⲁⲥⲩ,"aspirated (consonant)"
ⲃⲏⲕⲉ,"woof"
ⲗⲁⲝⲉ,"clouts"
ⲕⲟⲟⲩ,"length of time"
ⲧⲉⲱⲥ,"meanwhile, in the meantime"
ϭⲣⲱⲡ,"oven"
ϫⲉⲗⲓ,"net"
ⲇⲓⲕⲏ,"law-suit, cause"
ⲭⲟⲩⲥ,"Kush"
ⲗⲉⲯⲉ,"fragment, small portion"
ⲁⲙⲁⲩ,"owl"
ⲓⲱⲧⲁ,"iota (9th letter of the Greek alphabet)"
ⲍⲉⲩⲥ,"Zeus (the Greek god)"
ⲕⲟⲩϣ,"kostos, koush; Saussurea Lappa (a spice)"
ⲗⲱϫⲕ,"be sticky, adhesive"
ⲡⲛⲛⲏ,"doorpost, threshold, step"
ⲗⲁⲡⲥ,"anyone, anything, someone, something"
ⲁⲛⲁϩ,"border (of a garment)"
ϥⲱϯⲁ,"hind part of body"
ⲟⲩⲁⲛ,"dyke"
ⲉⲡϣⲉ,"a beetle"
ⲙⲟⲩⲉ,"island"
ⲙⲉⲗⲁ,"black one (substantive)"
ϣⲗⲟⲡ,"ply, strand (of cord)"
ⲁⲗⲟⲥ,"salt"
ϣⲱⲗⲙ,"meaning unknown"
ⲩⲓⲟⲩ,"copper rust"
ⲉⲩⲛⲓ,"nether millstone, mill"
ⲕⲁⲧⲁ,"(specific sense unclear)"
ϧⲣⲱϯ,"jugular veins"
ϣⲃⲱⲛ,"herb or cereal (?)"
ⲛⲁⲩⲓ,"spear"
ⲕⲟⲩⲕ,"rhind"
ⲙⲟⲛⲏ,"permanence, preservation"
ⲃⲱⲣⲉ,"a fish (Mugil cephalus)"
ⲡⲉⲉⲥ,"meaning unknown"
ϧⲟⲣⲧ,"madman"
ⲉⲩⲅⲉ,"good!, well said!"
ⲛⲟⲩ⸗,"those of . . ."
ⲕⲉⲣⲁ,"being mild, temperate, mixed to an agreeable temperature (of fire)"
ⲃⲉⲉϣ,"unripe fruit (of fig tree)"
ⲇⲟⲩⲝ,"duke, chief of province"
ⲙⲏϩⲉ,"feather"
ⲃⲁⲑⲱ,"kerchief"
ⲃⲱⲣϭ,"break asunder"
ϩⲱⲧϥ,"nail"
ⲛⲟⲛⲓ,"fall down"
ϭⲓⲕⲥ,"spindle (?)"
ⲫⲩⲗⲏ,"tribe, nation (specific sense unclear)"
ⲁⲥⲡⲉ,"language, speech, dialect"
ϭⲏⲟⲩ,"coriander"
ⲧⲉⲗⲉ,"to finish, complete (object none)"
ⲕⲩⲡⲏ,"vault, dome"
ⲧⲓⲥ-,"give, pay, send?"
ⲉⲣⲱⲥ,"desire (for something one does not have), lack, need"
ⲑⲏⲕⲉ,"[error?} agreement (συνθήκη is meant)"
ϥⲱⲥⲓ,"chisel, knife"
ⲟⲩⲱⲥ,"part of a snake (skin or tooth)"
ⲥⲓⲗⲓ,"meaning uncertain"
ⲁⲡⲉⲓ,"a purple dye-stuff"
ⲥⲱⲕⲓ,"gather, pick"
ⲧⲏⲣⲓ,"to protect, keep s.o"
ⲥⲟⲥⲓ,"lift up"
ⲛⲁⲟⲥ,"temple"
ⲁⲃⲓⲛ,"meaning unknown"
ϫⲁⲛⲏ,"hoe"
ⲫⲱϫⲓ,"a fish"
ⲭⲣⲟϣ,"slap"
ⲧⲓⲙⲏ,"honor, dignity (more specific sense unclear)"
ⲡⲗⲉⲁ,"to sail (object: none)"
ϭⲗⲟⲓ,"ball"
ⲫⲗⲉⲯ,"vein"
ϭⲟⲩϥ,"a basic commodity"
ϭⲗⲁⲡ,"lump, mass"
ⲯⲱⲣⲁ,"psora, itch, mange, scurvy (name of the disease; afflicting the skin with red
ⲏⲑⲟⲥ,"custom"
ⲁⲛⲟⲕ,"I"
ⲙⲟⲕⲓ,"jar, vessel, quiver"
ⲁⲡⲟⲩ,"former/one-time Χ (forms compounds with titles)"
ⲁⲙⲟⲕ,"liquid measure"
ⲛⲟⲉⲓ,"to think, understand (general, or specific sense unclear)"
ⲁⲓⲃⲉ,"stamp, stain"
ⲇⲟϭⲓ,"to seem (cleft question + noun in apposition with ⲛ-)"
