ⲟ,"great"
ⲉⲑⲟⲥ,"custom, habit"
ⲣⲓⲧⲁ,"a plant"
ⲕⲁϫⲓ,"pitcher, bucket"
ϣϫⲁⲡ,"slap"
ⲑⲱⲣϣ,"stare in astonishment"
ⲉⲧⲣⲉ,"waste, refuse"
ⲟⲩⲭⲓ,"is it not...? (interrogative marker expecting positive answer)"
ⲃⲓⲕⲓ,""
ⲟⲩⲇⲉ,"nor, and not (specific usage unclear)"
ⲉⲡⲁⲛ,"for, because introduces explanatory clause"
ⲁⲙⲓⲛ,"pot (of soapstone)"
ⲭⲟⲗⲏ,"bile, anger, wrath (specific sense unclear)"
ⲙϩⲟⲧ,"shoemaker's last or mallet"
ⲁϩⲕⲱ,"meaning unknown"
ϭⲓⲡⲥ,"wrinkle (on skin, bark)"
ϭⲁⲥⲧ,"dance"
ⲧⲉⲧⲉ,"part of the body (buttock? thigh?)"
ⲥⲓⲅⲏ,"silence"
ϩⲣⲧⲉ,"fear"
ⲃⲓⲟⲥ,"life (specific sense unclear)"
ⲛⲏϭⲉ,"belly, womb"
ⲑⲉⲣϣ,"linseed"
ⲥⲱⲣϫ,"piece, part"
ⲁⲙⲛⲁ,"among herbs and perfumes"
ϭⲱⲛⲙ,"go blind, become blind"
ⲙⲟⲩⲓ,"new"
ⲭⲉⲗⲟⲥ,"juice of plants"
ⲫⲁⲥⲓⲥ,"news, tidings, account"
ⲙⲁⲕⲣⲟ,"trough, mortar"
ⲙⲉⲗⲟⲥ,"member, part (specific sense unclear)"
ⲧⲕⲁⲓⲟ,"extremity"
ϫⲉϫⲣⲉ,"sorrel"
ⲉⲣϣⲓϣ,"chick-pea"
ⲧⲟⲙⲟⲥ,"papal (teaching) letter"
ⲡⲩⲣⲟⲩ,"to set s.th. on fire, to burn s.th."
ⲑⲗⲓⲃⲉ,"to be afflicted, oppressed (object: none)"
ⲟⲩⲟⲣⲉ,"unknown meaning"
ϭⲁⲗⲟϫ,"foot"
ⲇⲟⲗⲟⲥ,"deceptive one (substantive)"
ⲑⲉⲓⲟⲛ,"the divine (abstract) (substantive)"
ⲁⲛⲧⲁϣ,"sneeze"
ⲟⲛⲧⲱⲥ,"really, truly (specific sense unclear)"
ⲃⲁⲣⲉⲓ,"to burden s.o., to weigh down s.o."
ⲉⲅⲉⲧⲉ,"come on!"
ⲛⲁⲣⲉ-,"observe, watch, see"
ϩⲟⲡⲟⲩ,"when, whereas"
ⲙⲉⲣⲁⲛ,"trough, tank"
ⲧⲣⲙⲓⲟ,"make cry"
ⲧⲏⲣⲉⲓ,"to heed, keep, follow s.th. (object: content)"
ⲫⲱϧⲉⲛ,"covering-, roofing-planks"
ⲉⲓⲛⲁⲓ,"being (inverted attributive; nominal referent)"
ⲙⲁⲗⲁⲧ,"meaning unknown"
ⲟⲡⲱⲣⲁ,"crops, fruits (general or specific sense unclear)"
(ⲭⲱⲣ),"destroy"
ϩⲉⲝⲓⲥ,"body, frame"
ⲃⲁⲛϩⲟ,"meaning unknown"
ϩⲟⲣⲙⲏ,"impulse, inclination, desire"
ⲥⲕⲁⲗⲁ,"ladder"
ϩⲱⲥⲧⲉ,"(so) that, therefore (precise usage unclear)"
ⲍⲏⲙⲓⲁ,"fine"
ⲙⲉⲣⲣⲉ,"red (of hair)"
ⲡⲣⲱⲧⲏ,"first attributive"
ⲁϩⲣⲟ⸗,"what? why?"
ⲑⲉⲓⲟⲥ,"divine (attributive)"
ⲧⲕⲟⲩⲣ,"speed"
ⲁⲗⲗⲱⲏ,"aloe (specific sense unclear)"
ⲁⲗϫⲁⲓ,"large fish"
ϩϥⲟⲩⲣ,"young fish"
ⲟⲣⲑⲟⲛ,"full (attributive)"
ⲡⲟⲗⲓⲥ,"city, town"
ⲁⲗⲓⲕⲧ,"a metal (?) object"
ⲡⲁⲗⲓⲛ,"again, once more; also, furthermore (specific sense or usage unclear)"
ⲙⲁⲛⲓⲛ,"band, cord"
ⲡⲗⲁⲛⲁ,"to wander, stray (object: unclear)"
ⲑⲁⲣⲙⲓ,"leathern shield, cuirass"
ⲡⲓⲛⲁⲝ,"platter, dish"
ⲧⲩⲡⲟⲩ,"to make an impression, stamp (object: reflexive)"
ⲉⲝⲁⲅⲉ,"to drive s.o. away"
ⲁⲗⲱⲏⲥ,"aloe, aloe-juice (substantive)"
ⲙⲟⲛⲁⲥ,"monad (precise sense unclear)"
ⲛⲁⲣⲥ⸗,"destroy (lit. burn")"
ⲁⲙⲉⲣⲓ,"Himyarites (an Arab people)"
ⲉⲛⲁⲅⲉ,"to sue (object: unclear)"
ⲁⲕⲧⲓⲛ,"ray of light"
ⲕⲗⲓⲙⲁ,"zone, sector"
ⲕⲁⲕⲟⲛ,"evil (substantive)"
ⲙⲙⲁϩ-,"before"
ⲥⲁⲕⲓⲁ,"sack"
ⲙⲟⲩⲗⲕ,"meaning uncertain"
ⲕⲏⲣⲩⲝ,"herald, messenger"
ⲁⲛⲟⲭⲏ,"patience"
ⲧⲃⲁⲓ-,"upon (in ⲧⲃⲁⲓⲧⲱⲟⲩ, upon (his) mountain", Anubis's title)"
ⲙⲏⲧⲣⲁ,"womb"
ⲕⲣⲓⲛⲉ,"to judge, think, reckon (specific sense unclear)"
ⲁⲣⲭⲓⲛ,"to rule over s.th."
ⲁⲗⲗⲟⲥ,"another one"
ϩⲁϣϩϣ,"press, oppress, consume"
ⲛⲟⲩⲃⲥ,"Christ's thorn tree"
ⲕⲧⲏⲙⲁ,"material possession, property"
ⲧⲱⲓⲗⲓ,"unknown meaning"
ϭⲁⲓϣⲉ,"meaning unknown"
ⲫⲓⲁⲗⲏ,"bowl"
ⲕⲉⲧⲱⲛ,"(a kind of vessel or container)"
ⲧⲉⲗϥⲓ,"a kind of lizard (chameleon, gecko?)"
ϩⲁⲣⲡⲏ,"kind of bird (bird of prey) (substantive)"
ⲥⲱⲧⲏⲣ,"savior, giver of salvation"
ⲭⲁⲧⲏⲣ,"compass"
ⲇⲱⲣⲉⲁ,"gift, favor"
ⲥⲏⲟⲩⲓ,"meaning unknown"
ⲟⲡⲓⲥⲱ,"backwards!" (instructing the reader to turn the page)"
ⲕⲩⲣⲟⲩ,"to ordain, establish s.th. through s.th. (object 1: institution)"
ϩⲁⲯⲓⲥ,"arched niche (?)"
ⲕⲗⲏⲙⲁ,"branch"
ⲕⲉⲗⲟⲩ,"meaning uncertain"
ⲣⲙⲟⲛⲧ,"shivering, ague"
ⲯⲏⲫⲟⲥ,"pebble (for choosing, voting)"
ⲕⲟⲗⲗⲁ,"to cling, stick to s.o. / s.th."
ⲁⲙⲛⲧⲉ,"netherworld, hades", hell"
ⲡⲉⲗⲙⲁ,"sole (of foot)"
ⲧⲁⲝⲓⲥ,"rank, class, order (specific sense unclear)"
ⲧⲟⲩⲟⲥ,"point"
ⲛⲓⲯⲓⲥ,"washing basin (?)"
ⲉⲛⲛⲁⲥ,"Ennead (ninth celestial realm, transcendent)"
ⲟⲩⲏⲏϣ,"meaning unknown (an office or occupation, guardian?)"
ϫⲓⲗⲙⲁ,"meaning unknown (epithet of a garment)"
ϫⲁϩⲛⲓ,"baking oven"
ⲗⲏⲙⲙⲁ,"(prophetic) message"
ⲁⲝⲓⲟⲩ,"to beg, ask (specific sense unclear)"
ⲁⲑⲩⲛⲁ,"Athena (the Greek goddess)"
ⲗⲓⲧⲣⲁ,"a (Roman) pound (327.45g) (also a capacity measure)"
ⲉⲗⲟⲓϩ,"Shepherd"
ⲥⲕⲁⲫⲏ,"a small boat, ship"
ⲃⲁⲧⲟⲥ,"thorn-bush"
ϩⲟⲇⲟⲥ,"road, path, way"
ⲁϣⲓⲣⲁ,"chameleon"
ⲁⲣⲅⲟⲛ,"inactive, still (attributive)"
ⲫⲩⲗⲁⲝ,"guard, watcher"
ⲁⲫⲩⲏⲥ,"fool, dullard (substantive)"
ⲧⲉⲗⲟⲥ,"end"
ⲙⲉⲣⲣⲁ,"fate (malevolent celestial being, agent)"
ⲭⲁⲓⲣⳇ,"greetings! (form unclear due to abbreviation)"
ⲙⲉⲣⲉ-,"pref. neg. aorist"
ⲥⲁⲣϥⲉ,"twig (?)"
ⲧⲁⲫⲟⲥ,"grave, tomb"
ⲁⲥⲟⲩⲓ,"purse, wallet"
ⲉⲣⲃⲱⲥ,"rope of single ply"
ⲟⲩⲱⲙⲧ,"swell, be swollen"
ⲁⲣⲧⲟⲥ,"bread"
ⲡⲟⲣⲛⲏ,"prostitute (general or specific sense unclear)"
ⲕⲁⲩⲙⲁ,"burning heat"
ⲁⲣⲭⲱⲛ,"ruler, archon (specific sense unclear)"
ⲧⲣⲓⲃⲉ,"to rub, pound s.th."
ⲥⲟⲩⲕⲏ,"planet Mercury"
ⲛⲟⲉⲣⲁ,"spiritual (as opposed to material) (attributive)"
ⲉⲗⲁⲭⳇ,"least, worthless, most humble one (nominal)"
ⲉⲓⲇⲉⲁ,"likeness, semblance, visible appearance"
ⲧⲣⲓⲁⲥ,"triad, trinity (group of three primordial entities)"
ϩⲓⲥⲟⲛ,"same thing (specific sense unclear)"
ⲁⲗⲓϫⲓ,"fuller's earth"
ⲁⲓⲧⲓⲁ,"cause, reason (general, or specific sense unclear)"
ⲱⲣⲃⲁⲛ,"box tree"
ⲁⲗⲥⲟⲥ,"grove"
ⲝⲏⲗⲟⲛ,"wood"
ⲡⲁⲥⲭⲁ,"Passover (festival)"
ⲥⲏⲟⲩⲉ,"bandage(s) (?)"
ⲡⲩⲗⲱⲛ,"gateway, entrance"
ⲁⲝⲓⲟⲥ,"worthy one (substantive)"
ⲟⲩⲉⲓⲧ,"place or machine where ass works"
ⲙⲉⲣⲟⲥ,"part, share, individual (specific sense unclear)"
ϭⲁⲡⲉⲧ,"fibre of palm tree (?)"
ⲕⲁⲧⲟⲥ,"jar, vessel for water or wine"
ⲥⲁⲭⲙⲓ,"(goddess) Sakhmet"
ⲥⲡⲗⲏⲛ,"spleen"
ⲡⲉⲧⲣⲁ,"rock, stone"
ⲁⲥⲕⲟⲥ,"wine-skin"
ϭⲗⲱⲃⲓ,"scissors"
ⲕⲟⲉⲓⲥ,"vessel for liquids"
ⲗⲟⲅⲟⲥ,"(usage unclear)"
ⲙⲓⲧⲣⲁ,"mitre"
ϭⲛⲟⲩϥ,"heavy object"
ϩⲟⲧⲁⲛ,"when, whenever (specific sense unclear)"
ⲃⲁⲥⲓⲥ,"foundation, base"
ⲑⲟⲩⲙⲉ,"zodiacal sign: Virgo"
ⲡⲩⲝⲟⲥ,"tablet"
ⲕⲱⲧⲱⲛ,"drinking-vessel"
ⲫⲟⲃⲟⲥ,"fear, panic, flight"
ⲃⲓⲗⲧⲓ,"thights, hips, rump"
ⲕⲓⲧⲣⲁ,"lemon"
ⲟⲩⲣⲁⲥ,"staff, crutch"
ⲥⲟⲉⲓϣ,"a measure"
ⲧⲉⲣⲡⲉ,"to delight, rejoice (object: none)"
ⲡⲟⲩⲛⲓ,"anus"
ϭⲛⲟⲩⲧ,"meaning unknown"
ⲙⲧⲁⲧϩ,"meaning unknown"
ⲟⲭⲉⲙⲁ,"vehicle, anything that bears or supports"
ⲕⲱⲗⲩⲉ,"to prevent, hinder, deny (specific sense unclear)"
ⲟⲭⲗⲟⲥ,"crowd"
ⲃⲁⲑⲟⲥ,"abyss, depth, deep"
ⲇⲉⲓⲛⲁ,"NN, so-and-so"
ⲛⲉⲃⲑⲱ,"the goddess Nephthys"
ϩⲁⲁⲃⲓ,"to sow corn (?)"
ⲉⲣⲃⲓⲧ,"camel's saddle or pack"
ⲕⲉⲗⲱⲗ,"pitcher, jar"
ⲉⲗⲧⲟϥ,"spit on"
ⲧⲩⲡⲟⲥ,"shape, imprint, model (specific sense unclear)"
ⲑⲏⲥⲅⲉ,"censer"
ⲗⲁⲧⲃⲥ,"patch"
ⲙⲟⲅⲓⲥ,"barely, scarcely (specific sense or usage unclear)"
ⲛⲟⲩⲣⲥ,"destroy (lit. burn")"
ⲅⲓⲙⲉⲛ,"to swell (object: none)"
ⲕⲱⲣⲉⲝ,"blade"
ⲙⲙⲁⲧⲉ,"only"
ⲃⲣⲓⲟⲛ,"of oyster-green (attributive)"
ϧⲁⲓⲣⲓ,"serpent"
(ϧⲱⲧ),"uncertain meaning"
ⲁⲅⲓⲟⲥ,"holy (general or specific sense unclear)"
ⲙⲟⲩⲕⲓ,"ladder"
ⲁⲅⲱⲅⲏ,"way of life, conduct"
ϩⲉⲗⲟⲥ,"marsh"
ⲓⲭⲛⲟⲥ,"(foot)print"
ⲡⲏⲥⲥⲉ,"to fasten, nail down s.th. to/in s.th."
ⲕⲁⲗⲱⲥ,"rightly, well, nobly (specific sense unclear)"
ⲇⲓⲡⲗⲁ,"dipla, double mark (measure for wine)"
ⲙⲁϣⲣⲧ,"cable (of palm fibre)"
ⲉⲙⲏⲣⲉ,"innundation, high water"
ⲃⲱⲙⲟⲥ,"altar (inverted attributive, nominal referent)"
ⲉⲅⲅⲩⲁ,"(document of) surety, guarantee (to deliver s.th./s.o.)"
ⲟⲡⲓⲟⲩ,"poppy-juice, opium"
ⲁⲡⲟⲗⲩ,"to send away, dismiss s.o."
ⲃⲉⲣϣⲟ,"meaning uncertain (pitch?)"
ⲡⲁⲡⲟⲓ,"bird, chicken (?)"
ⲭⲣⲟⲃⲓ,"sickle"
ϣⲗϣⲓⲗ,"unripe, sour grapes"
ⲫⲟⲣⲟⲥ,"tax"
ⲙⲁⲡⲡⲁ,"cloth, garment"
ϩⲣⲉⲟⲛ,"drinking-cup or horn"
ϭⲓⲣⲁ=,"be like, resemble (?)"
ⲡⲉⲛⲛⲉ,"flea"
ⲣⲱⲧⲉⲃ,"recline"
ⲑⲟⲗⲟⲥ,"rotunda, vaulted vapor-bath"
ⲇⲓⲁⲕⳇ,"deacon"
ⲗⲉⲥⲭⲏ,"gossip, scandal"
ⲙⲓⲗⲟⲥ,"a Roman mile (= 1478.5m)"
ⲇⲟⲅⲙⲁ,"teaching, doctrine, dogma (general or specific sense unclear)"
ⲕⲟⲙⲉⲥ,"count, comes"
ⲧⲉⲭⲛⲏ,"skill, craft, art"
ⲙⲟⲩⲗϩ,"wax"
ⲡⲗⲩⲅⲏ,"to be injured (object: none)"
ⲙⲏⲡⲱⲥ,"(specific function unclear)"
ⲉⲩⲑⲩⲥ,"immediately"
ⲟⲩⲁϩⲟ,"dwelling-place, staying-place"
ⲟⲩⲏⲧⲉ,"thunderstorm, calamity"
ⲃⲁⲑⲟⲛ,"depth, abyss"
ⲧⲟⲗⲙⲏ,"(over-)boldness, audacity"
ⲕⲁⲕⲓⲁ,"evil, trouble, misfortune (specific sense unclear)"
ϩⲓⲕⲱⲛ,"image (general, or specific sense unclear)"
ⲡⲁⲓⲁⲧ,"Libya and Libyan nome and their inhabitans"
ⲙⲣⲟϧⲧ,"fuller's clay"
ⲙⲉⲣⲱϥ,"meaning unknown"
ⲃⲁⲁⲣⲉ,"boat, barge"
ⲉⲗⲉⲟⲛ,"olive-oil"
ⲁⲇⲓϭⲓ,"to do wrong, act wrongly against s.o."
ⲕⲁⲧϣ⸗,"meaning unknown"
ⲟⲣⲭⲉⲓ,"to dance (object: none)"
ⲙⲟⲥⲛⲉ,"a vessel or dry measure"
ⲥϯⲭⲟⲥ,"syllable? letter?"
ⲡⲓⲑⲟⲥ,"jar, cask"
ⲥⲓⲗⲓⲗ,"meaning unknown (gleam ?)"
ⲃⲁⲣⲟϣ,"meaning unknown (trade or office?)"
ⲧⲟⲡⲟⲥ,"place, space (specific sense unclear)"
ⲁⲃⲣⲉⲙ,"baked bread"
ⲁⲣⲉⲓⲁ,"better"
ⲥⲧⲓⲍⲉ,"to punctuate s.th. (object: a book)"
ⲃⲟⲓϣⲓ,""
ϫⲟⲩⲫⲱ,"worry, be concerned"
ⲭⲁⲓⲣⲉ,"greetings! hail! (without addressee)"
ⲁⲕⲣⲓⲥ,"grasshopper"
ⲙⲟⲉⲓϩ,"measure for fodder"
ⲡⲧⲏⲣⲓ,"male fern (Aspidium Filix mas)"
ⲥⲧⲏⲗⲏ,"pillar, stele"
ⲥⲧⲟⲗⲏ,"robe, garment, vestment"
ⲃⲣⲁⲭⲩ,"short (of vowels)"
ϩⲓⲥⲟⲥ,"equal (substantive)"
ⲃⲁⲥⲛϭ,"tin"
ⲕⲟⲣⲟⲩ,"a coin"
ⲥⲁⲧⲉⲣ,"meaning uncertain"
ϩⲓⲉⲣⲁ,"holy"
ⲟⲩⲃⲉ-,"opposite, toward, against"
ⲃⲉⲕⲛⲉ,"a beetle"
ⲭⲁⲙⲱⲥ,"cloth (used by bakers to cover the nose and the mouth)"
ⲕⲏⲡⲟⲥ,"garden, orchard"
ϩⲣⲁⲭⲁ,"numbskull, fool"
ⲑⲩⲥⲓⲁ,"offering, sacrifice"
ⲡⲁⲓⲧⲏ,"eggplant"
ⲧⲣⲟⲫⲏ,"food, nourishment"
ⲡⲗⲁⲛⲏ,"error"
ⲑⲉⲥⲓⲥ,"position, location"
ⲙⲁⲛⲓⲁ,"madness"
ϭⲟⲗⲗⲉ,"glue"
ⲟⲩⲥⲓⲁ,"property (in general)"
ⲙⲉⲥⲟⲥ,"middle"
ⲉⲣⲅⲓⲥ,"tool"
ⲗⲱⲡⲥⲓ,"bite, seize"
ⲟⲩⲟⲕⲓ,"dregs of sesame"
ⲭⲏⲣⲁⲥ,"young pig, porker (attributive)"
ⲁⲙⲟⲩⲛ,"the god Amun"
ⲗⲩⲡⲉⲓ,"to suffer because of, due to s.o."
ⲕⲏⲧⲟⲥ,"sea-monster, huge fish, whale"
ⲟⲓⲛⲟⲩ,"wine"
ⲭⲣⲏⲙⲁ,"property, wealth (most general sense)"
ⲛⲱⲟⲩϯ,"swaddeling bands"
ⲟⲩⲁⲗϭ,"be depressed?"
ⲥⲡⲟⲣⲁ,"seed"
ⲁⲗⲁϭⲉ,"cease, remove!"
ⲁⲥⲑⲉⲙ,"if not (. . . then)"
ⲟⲩⲁⲁ⸗,"alone, self"
ⲭⲣⲉⲓⲁ,"duty, purpose, use"
ⲕⲣⲓⲙⲁ,"sentence, judgment"
ⲙⲟⲛⲟⲛ,"only, simply (specific sense or usage unclear)"
ⲁⲙⲁⲗⲉ,"starch"
ⲟⲩⲱⲛϣ,"Egyptian wolf (Canis aureus lupaster)"
ⲁⲣⲉⲧⲏ,"excellence"
ⲛⲏⲥⲟⲥ,"island"
ⲉⲕⲧⲓⲥ,"payment in full"
ⲭⲟⲣⲇⲏ,"(instrument with) chord, string;"
ⲑⲁⲛⲛⲟ,"accomplish, perform"
ϩⲟⲙⲱⲥ,"nevertheless, all the same"
ⲕⲱⲫⲟⲥ,"deaf one"
ⲅⲉⲛⲟⲥ,"class, kind, sort, species (specific sense unclear)"
ⲧⲟⲩⲣⲉ,"adversary?"
ϫⲟⲕⲥⲓ,"flatulence"
ⲗⲓⲙⲏⲛ,"portrait, image"
ⲡⲣⲟⲟⲛ,"pre-existing (i.e., existing in a transcendental manner)"
ⲕⲁⲫⲁⲓ,"Egyptian partridge"
ⲥⲭⲏⲙⲁ,"form, shape (specific sense unclear)"
ⲕⲓⲕⲓⲥ,"castor-oil"
ⲃⲉⲛϫⲓ,"elephant's trunk"
ⲗⲟⲅⲭⲏ,"spear, lance"
ⲃⲁϣⲟⲣ,"fox"
ⲉⲗⲉⲟⲩ,"olive-oil"
ⲉⲙⲓⲥⲉ,"dill"
ⲇⲟⲝⲟⲛ,"document of evaluation, expert's report"
ⲫⲟⲣⲓⲛ,"to wear s.th. (object: clothes or decor)"
ⲃⲗⲁⲃⲏ,"harm, damage"
ⲙⲉⲗⲁⲛ,"black ink"
ⲭⲉⲗⲙⲓ,"nipple (of breast)"
ⲏⲅⲟⲩⲛ,"that is to say, i.e."
ⲡⲁⲑⲟⲥ,"passion, instability, sensate confusion"
ⲁⲧⲟⲩⲙ,"the god Atum"
ⲟⲩⲉϣⲉ,"dirt particle"
ⲫⲟⲛⲟⲥ,"murder"
ⲗⲱⲧⲓⲝ,"large scarf/cloak"
ⲗⲁⲙⲧⲓ,"meaning unknown"
ⲁⲝⲓⲟⲛ,"what s.b. deserves (substantive)"
ⲗⲁⲃⲁⲥ,"alow-wood"
ⲉⲗϭⲱⲃ,"heron"
ⲁⲕⲱⲛⲉ,"a vessel"
ⲗⲁⲕⲥⲓ,"skip, bound"
ⲗⲏⲕⲟⲥ,"of wolf (attributive)"
ϩⲟⲗⲟⲛ,"whole, universe, entirety (pluralia tantum) (substantive)"
ⲑⲁⲩⲙⲁ,"admiration, wonder"
ⲉⲧⲛⲓⳉ,"ashes"
ⲁⲣⲭⲉⲓ,"to begin (specific sense unclear)"
ⲇⲱⲣⲟⲛ,"gift"
ⲛⲟⲟϣⲉ,"be strong (of bad smell)"
ⲁⲣⲅⲟⲥ,"idle, lazy person (substantive)"
ϭⲓⲗⲗ̄,"meaning unknown"
ⲭⲁⲣⲉⲃ,"lowly"
ⲙⲟⲗⲟⲭ,"Mars (planet)"
ⲙⲉϩⲏⲗ,"bald place (on head)"
ⲧⲏⲙⲟⲥ,"(group of) people, crowd"
ⲃⲁⲥⲃⲥ,"white-headed duck"
ⲉⲣϣⲁⲛ,"if"
ⲫⲩⲥⲓⲥ,"nature (precise sense unclear)"
ⲃⲉϩⲱⲗ,"(kind of) date-palm"
ⲗⲉⲃⲁⲛ,"(ship's) hauling-cable"
ⲁⲛⲟⲩⲡ,"the god Anubis"
ⲗⲟⲟⲙⲉ,"bait"
ⲥⲧⲩⲫⲏ,"austerity"
ⲕⲱⲡⲓⲥ,"knife"
ⲁⲙⲓⲣⲁ,"emir, pagarch"
ⲟⲩⲱⲛⲅ,"swallow, devour, chew"
ⲟⲣⲭⲟⲥ,"rim of eyelid"
ⲇⲟⲕⲉⲓ,"to seem, to appear to s.o. (object2: clause, inf.)"
ⲥⲉⲙⲛⲏ,"Holy one (fem.) (substantive)"
ⲁⲛⲁⲭⲱ,"to withdraw oneself from s.o. (object1: reflexive)"
ⲉⲣⲅⲟⲛ,"act, deed"
ⲁⲛⲁⲗⲩ,"to dissolve/annul s.th."
ⲙⲁⲅⲟⲥ,"sage, wise man, Magus"
ⲡⲁϩⲧⲉ,"strength, valiance"
ⲃⲟⲗⲃⲗ,"be undermined"
ⲗⲓⲃⲟⲥ,"colic"
ⲥⲛⲕⲟⲩ,"sow-thistle, Sonchus aspera"
ⲗⲩⲙⲏⲛ,"harbor, port of s.th. (object: abstraction)"
ⲉⲣϭⲟⲓ,"meaning uncertain"
ϩⲟⲣⲧϥ,"phantasm, ghost"
ⲧⲁⲣⲓⲕ,"pickle, salted/dried object"
ⲕⲱⲫⲟⲛ,"faint, dull (substantive)"
ϩⲟⲣⲟⲥ,"rule, ordinance, law, stricture"
ⲥⲁⲫⲱⲥ,"clearly, plainly, distinctly"
ⲧⲁⲅⲙⲁ,"class, rank, order, group"
ⲓⲛⲇⲟⲥ,"Indian"
ⲧⲟⲗⲙⲁ,"(over-)boldness, audacity"
ⲫⲩⲗⲗⲁ,"leaves"
ⲕⲩⲣⲟⲥ,"lord, master"
ⲙⲉⲣⲓⲥ,"portion, share"
ⲃⲁⲗⲁⲧ,"rough, hairy cloak worn by monks"
ⲙⲧⲟⲧϥ,"wild rue"
ⲥⲁⲥⲉⲗ,"demented"
ϣⲱⲗⲉⲙ,"meaning unknown"
ⲙⲟⲣⲫⲏ,"shape, form, appearance (specific sense unclear)"
ⲁⲓⲧⲉⲓ,"to ask, demand (specific sense unclear)"
ⲃⲉⲣⲥⲓ,"orach (atriplex)"
ⲇⲓⲣⲕⲏ,"woman who suffers the fate of Dirke in Greek tragedy"
ⲕⲉⲗⲕⲁ,"lump, pustule"
ϩⲩⲙⲏⲛ,"outer membrane (primordial hypostasis and region)"
ϫⲱⲱⲛⲉ,"meaning unknown"
ⲇⲓⲱⲕⲉ,"to persecute (object: none)"
ⲁⲑⲗⲟⲛ,"prize"
ⲟⲓⲕⲟⲥ,"house (astronomy)"
ⲡⲓⲡⲉⲣ,"pepper (substantive)"
ⲃⲟⲉⲓⲧ,"ox; cow"
ⲝⲩⲣⲟⲛ,"(medical) powder"
ⲁⲃⲥⲱⲛ,"wild mint"
ⲧⲣⲁⲓⲧ,"be fixed?"
ⲛⲉⲙⲉⲓ,"hold sway over, manage"
ⲙⲓⲝⲓⲥ,"mixing, mingling"
ⲗⲓⲙⲛⲏ,"pool, lake"
ⲁⲣⲕⲉⲓ,"it suffices for s.th. (subject: conjunctive clause)"
ⲭⲱⲣⲓⲛ,"to contain, bound s.th."
ⲡⲁⲧⲉⲓ,"to tread, walk on s.th."
ⲛⲁⲡⲛⲉ,"grain"
ⲟⲩⲁϩⲉ,"oasis"
ⲗⲉⲛϫⲓ,"coat of mail, cuirass"
ⲥⲕⲉⲩⲏ,"clothing"
ⲉⲓⲇⲟⲥ,"thing, item, property, wares"
ⲣⲏⲥⲓⲥ,"text of Scripture"
ⲗⲁⲩⲣⲁ,"alley, street"
ⲗⲁⲕⲟⲛ,"(wine) jar"
ⲟⲩⲁⲕ⸗,"meaning unknown (cf. ⲟⲩⲉⲓⲕⲉ?)"
ⲟⲗⲓⲕⲉ,"to diminish, reduce, belittle s.o."
ⲉⲧⲣⲉ-,""
ⲃⲁⲣⲟⲥ,"weight, burden"
ⲟⲩⲱϩⲣ,"cease, stop, restrain (oneself)"
ⲕⲗⲓϫⲓ,"part of a bird"
ϩⲟⲓⲟⲛ,"like, such as"
ⲡⲁⲑⲉⲓ,"to suffer"
ⲃⲱⲗⲟⲥ,"lump (of primordial darkness)"
ⲕⲁⲛⲱⲛ,"(specific sense unclear)"
ϧⲟⲣⲡⲥ,"handful"
ⲗⲁⲃⲟⲓ,"lioness"
ⲗⲁϧⲉⲙ,"trunk, branch, stalk, tube"
ϩⲏⲡⲁⲣ,"liver"
ⲅⲓⲅⲁⲥ,"giant"
ⲕⲁⲗⲧ-,"be hairless"
ⲁⳉⲧⲛ-,"against, in opposition to"
ⲕⲟⲙⲙⲉ,"gum"
ⲭⲓⲙⲱⲛ,"storm, winter (substantive)"
ⲗⲉⲃⲏⲥ,"cauldron"
ⲗⲉⲓϥⲓ,"(fish) cyprinus niloticus"
ⲧⲁⲣϣⲟ,"increase, multiply"
ⲟⲣⲕⲟⲥ,"oath"
ⲗⲱⲕⲉⲙ,"be moist, sodden"
ⲭⲁⲣⲓⲥ,"grace, favor (specific sense unclear)"
ⲩⲃⲣⲓⲥ,"offence, insolence, insult"
ⲗⲉⲩⲕⲏ,"white poplar"
ⲡⲓⲥⲧⲏ,"faithful (substantive)"
ϩⲟⲗⲱⲥ,"wholly, altogether, at all (specific sense or usage unclear)"
ϩⲁⲙⲏⲛ,"(usage unclear)"
ⲑⲩⲙⲟⲥ,"anger"
ⲭⲣⲱⲙⲁ,"color, pigment"
ⲁⲛⲅⲱⲛ,"upper floor"
ⲁⲗⲱⲗⲉ,"pebble"
ⲧⲓⲣⲱⲛ,"recruit"
ⲟⲩⲉⲓⲛ,"water-channel?"
ⲃⲉϫⲏⲛ,"a rush"
ⲥⲁⲕⲃⲓ,"pour water (to make a libation)"
ⲅⲉⲛⲉⲁ,"generation (specific sense unclear)"
ⲛⲩⲙⲫⲏ,"bride"
ⲃⲁϩⲁⲗ,"the god Baal"
ⲁⲛⲉⲭⲉ,"to hold up, back, endure (specific sense unclear)"
ⲧⲉⲫⲣⲁ,"ashes"
ϩⲏⲧⲣⲁ,"abdomen, esp. the lower part of it"
ⲥⲗⲓϥⲓ,"lung"
ⲡⲧⲱⲙⲁ,"corpse"
ⲅⲣⲁⲫⲏ,"writing, Scripture (specific sense unclear)"
ⲁⲥⲕⲉⲓ,"to discipline oneself (object: none)"
ⲙⲏⲣⲟⲥ,"thigh"
