N,𒊬𒌅,sartu,"falsehood"
N,𒌍𒌋𒌋𒌅,sinixtu,"woman"
AJ,𒋻𒍮,tarx+u,"correct"
N,𒅎𒅔𒌅,tidintu,"gift"
CNJ,𒌋,u,"and"
N,𒀀𒂔𒇲,umu,"mother"
N,𒊻𒉡,uznu,"ear"
AJ,𒍠𒊒,zakru,"named"
AJ,𒅐,zikaru,"male"
AJ,𒁽𒌋,aaliku,"going"
DET,𒊭,xa,"of"
REL,𒊭,xa,"that"
N,𒊕𒉡,xaknu,"appointee"
AJ,𒊕𒉡,xaknu,"placed"
N,𒌑𒈬,xamu,"plant(s)"
N,𒉌,xamnu,"oil"
N,𒌑𒋗,xamxu,"sun"
AV,𒉺𒅁𒇺,xaplix,"below"
AJ,𒉺𒅁𒇻,xaplu,"low(er)"
N,𒉺𒅁𒌅,xaptu,"lip"
N,𒈗,xaru,"king"
AJ,𒆳𒊒,xat+ru,"written; placed in order"
N,𒋃𒁺,xidu,"length"
N,𒊿𒄖,xiqu,"(meaning unknown)"
N,𒈨𒊒,xipru,"sending"
N,𒂄𒈬,xulmu,"completeness"
MOD,𒋳𒈠,xuma,"if"
N,𒈬,xumu,"name"
IP,𒊿𒌋,xunu,"they"
AJ,𒊨,x+almu,"black"
N,𒊨,x+almu,"effigy"
AJ,𒋚𒊒,x+ehru,"small"
N,𒍦𒌅,x+ibtu,"seizure; (a garment, esp. for cult statues); interest"
N,𒂟,x+aabu,"people"
N,𒁾𒁍,t+upu,"tablet"
N,𒁾𒈗,t+upxaru,"scribe"
N,𒅗𒄭,t+eemu,"(fore)thought"
N,𒉌𒌓,abnu,"stone"
N,𒆍𒃲𒇻,abulu,"(city) gate"
AV,𒀜𒃶𒉌,adakani,"until now"
AV,𒀜𒌋𒌋,adanix,"very much"
AV,𒁜𒉌,akani,"now"
N,𒀝𒅋𒌅,akiltu,"expended goods"
AJ,𒀝𒇻,aklu,"eaten"
N,𒀠𒆳𒌅,almatu,"widow"
AV,𒆳𒅗,amaka,"there"
N,𒆳𒌅,amatu,"unit; (a container of standard capacity); year; forearm"
N,𒊩𒆳,amtu,"maid"
AV,𒀭𒅘𒀀,anaka,"here"
AV,𒅈𒌓,arhix,"quickly"
N,𒌗,arhu,"month"
AJ,𒅈𒆪,arku,"long"
AJ,𒅈𒄣,ark+u,"green"
N,𒊍𒁺𒁍,askupu,"(threshold) slab"
N,𒀜𒁇𒌋,atbaru,"basalt"
N,𒀜𒊒,atru,"excess; threshing floor"
QP,𒀀𒀀𒅗,ayaka,"where?"
QP,𒀀𒀀,ayu,"which?"
N,𒀸𒃮,axirtu,"check"
N,𒊍𒀊𒁍,ax+apu,"pack animal"
AV,𒁀𒋛,basi,"soon"
N,𒁁𒅅𒌅,batik+tu,"denunciation"
AJ,𒁁𒄣,batk+u,"cut (off); cut (off"
N,𒁁𒌅,batu,"side"
N,𒄘𒌦,biltu,"load"
N,𒄵𒄷,birhu,"(meaning unknown)"
N,𒄵𒌅,birtu,"fort"
N,𒊑𒌅,daltu,"door"
N,𒆜𒁍𒌅,danatu,"fortified (place)"
